Timestamp,IR_sens_Lf,IR_sens_Rt,motor_dIrection_Lf,motor_dIrection_Rt,motor_speed_Lf,motor_speed_Rt,ultrasonic_sens_fwd,WheelCounts_Lf,WheelCounts_Rt
19:19:13,25,,,,,,39,86,1402
19:19:14,25,,,,,,37,128,1441
19:19:15,23,27,,,,,37,170,1480
19:19:16,23,28,,,,,35,214,1476
19:19:17,23,27,,,,,32,254,1516
19:19:18,24,26,,,,,28,294,1556
19:19:19,23,27,,,,,28,335,1543
19:19:20,24,29,,2,10,10,25,370,1505
19:19:21,23,30,,2,10,10,26,393,1478
19:19:22,23,31,,1,12,12,27,398,1486
19:19:23,22,30,,2,10,10,24,426,1497
19:19:24,21,30,,2,10,10,24,427,1499
19:19:25,20,30,,2,10,10,26,433,1488
19:19:26,20,30,,2,10,10,26,433,1488
19:19:27,20,30,,2,10,10,23,441,1478
19:19:28,19,20,,2,10,10,30,474,1439
19:19:29,19,30,,2,10,10,27,494,1416
19:19:30,19,31,,2,10,10,31,495,1414
19:19:31,20,31,,2,10,10,28,495,1414
19:19:32,19,31,,2,10,10,30,496,1408
19:19:33,25,30,,2,10,10,21,529,1382
19:19:34,26,16,,2,10,10,21,548,1362
19:19:35,26,29,,1,12,12,42,551,1349
19:19:36,29,31,,1,12,12,48,572,1315
19:19:37,29,28,,1,12,12,30,613,1344
19:19:38,29,27,,1,12,12,29,658,1385
19:19:39,29,31,,1,12,12,30,704,1427
19:19:40,25,30,2,1,0,0,10,747,1471
19:19:41,28,29,1,1,12,12,31,730,1476
19:19:42,28,31,1,1,12,12,29,766,1521
19:19:43,28,30,1,1,12,12,30,810,1572
19:19:44,26,30,1,1,12,12,31,833,1614
19:19:45,28,30,1,2,10,10,26,884,1658
19:19:46,28,30,1,2,0,0,26,936,1640
19:19:47,28,29,1,2,10,10,26,991,1586
19:19:48,17,29,1,2,10,10,28,1046,1533
19:19:49,22,29,1,1,12,12,45,1101,1478
19:19:50,25,29,1,1,12,12,49,1159,1494
19:19:51,29,29,1,1,12,12,50,1215,1542
19:19:52,30,28,1,1,12,12,58,1271,1590
19:19:53,30,28,1,1,12,12,48,1328,1638
19:19:54,30,28,1,1,12,12,53,1385,1686
19:19:55,29,27,1,1,12,12,41,1435,1731
19:19:56,27,27,1,1,12,12,45,1490,1778
19:19:57,28,26,1,1,12,12,40,1542,1823
19:19:58,27,24,1,1,12,12,35,1593,1869
19:19:59,27,24,1,1,12,12,30,1644,1912
19:20:00,27,21,2,1,10,10,25,1697,1956
19:20:01,26,19,2,1,10,10,25,1665,1998
19:20:02,24,19,2,1,10,10,28,1618,2043
19:20:03,30,23,1,1,12,12,32,1567,2093
19:20:04,30,24,1,1,12,12,39,1601,2136
19:20:05,30,23,1,1,12,12,32,1653,2184
19:20:06,27,24,1,1,12,12,27,1704,2228
19:20:07,25,12,2,1,10,10,23,1710,2271
19:20:08,30,22,2,1,10,10,23,1662,2317
19:20:09,30,18,2,1,10,10,26,1613,2364
19:20:10,29,19,2,1,10,10,28,1563,2413
19:20:11,29,22,1,1,12,12,37,1520,2460
